date_time,1AA1_1,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA2_1,1AA2_2,1AA3_1,1AA3_2,1AA4_1,1AA5_1,1AA6_1,1AA7_1,2AA1_1,2AA2_1,2AA3_1,2AA4_1,2AA4_2,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA5_6,2AA5_7,2AA6_1,2AA7_1,2AA7_2,2AA8_1,2AA8_2,2AA8_3,2AA8_4,2AA8_5,2AA8_6,2AA8_7,2AA9_1,2AA9_2,2AA9_3,2AA9_4,2AA9_5,2AA9_6,2AA9_7
2019-01-02T22:00:00,0,0,0,0,0,2855.64,2578824.75,1663854.75,84995.04,0.36,0.12,10,4327035.5,5821608,0,2.88,135983.05,0,307840.03,784795.44,63663.92,710283.81,0,0,1110.64,3849367.25,579345.94,8193.92,0,1712.6,36719.97,1207639.62,389998.88,588174.5,45391.42,684112.88,23240.22,60802.29,221702.36,0,0.01,798.98
2019-01-02T23:00:00,0,0,0,0,0,2856.36,2578887.75,1663903.62,84995.04,0.36,0.12,10,4327148.5,5821768,0,2.88,135985.12,0,307860.97,784817.38,63664.12,710315.38,0,0,1110.64,3849451.5,579368.5,8193.92,0,1712.6,36720.63,1207653.88,390006.25,588192.06,45391.42,684112.88,23240.52,60803.25,221706.88,0,0.01,798.98
2019-01-03T00:00:00,0,0,0,0,0,2857.08,2578950.75,1663950.38,84995.04,0.36,0.12,10,4327258.5,5821925.5,0,2.88,135987.05,0,307881.88,784839.19,63664.32,710346.19,0,0,1110.64,3849533.25,579389.12,8193.92,0,1712.64,36721.32,1207667.62,390013.53,588209.38,45391.42,684112.88,23240.94,60803.91,221711.38,0,0.01,798.98
2019-01-03T01:00:00,0,0,0,0,0,2857.8,2579013.25,1663994,84995.04,0.36,0.12,10,4327366.5,5822081,0,2.88,135988.95,0,307902.81,784861.12,63664.48,710376.94,0,0,1110.64,3849614,579408.5,8193.92,0,1712.64,36721.59,1207681.88,390020.88,588226.88,45391.42,684112.88,23241.24,60804.54,221715.88,0,0.01,798.98
2019-01-03T02:00:00,0,0,0,0,0,2858.52,2579075.5,1664035.25,84995.04,0.36,0.12,10,4327472.5,5822235,0,2.88,135990.88,0,307923.72,784883.06,63664.68,710407.81,0,0,1110.64,3849692.75,579426.38,8193.92,0,1712.68,36721.86,1207696.38,390028.25,588244.06,45391.42,684112.88,23241.48,60804.99,221720.41,0,0.01,798.98
2019-01-03T03:00:00,0,0,0,0,0,2859.24,2579138.5,1664076.75,84995.04,0.36,0.12,10,4327578,5822388,0,2.88,135992.8,0,307944.62,784904.94,63664.88,710438.25,0,0,1110.64,3849770.75,579444.81,8193.92,0,1712.68,36722.28,1207709.88,390035.47,588261.19,45391.42,684112.88,23241.74,60805.2,221724.92,0,0.01,798.98
2019-01-03T04:00:00,0,0,0,0,0,2859.96,2579201.25,1664118,84995.04,0.36,0.12,10,4327683.5,5822541.5,0,2.88,135994.72,0,307965.47,784926.94,63665.04,710469.06,0,0,1110.64,3849850,579463.06,8193.92,0,1712.72,36722.91,1207724.38,390042.62,588278.25,45391.42,684112.88,23242,60805.44,221729.42,0,0.01,798.98
2019-01-03T05:00:00,0,0,0,0,0,2860.68,2579263.25,1664157.62,84995.04,0.36,0.12,10,4327786.5,5822694,0,2.88,135996.64,0,307986.44,784948.5,63665.24,710499.5,0,0,1110.64,3849926,579480.19,8193.92,0,1712.72,36723.57,1207738,390049.72,588295,45391.42,684112.88,23242.24,60805.74,221733.8,0,0.01,798.98
2019-01-03T06:00:00,0,0,0,0,0,2861.4,2579327,1664197.62,84995.04,0.36,0.12,10,4327891.5,5822846,0,2.88,135998.56,0,308007.38,784970.94,63665.44,710530.81,0,0,1110.64,3850004.5,579497.12,8193.92,0,1712.76,36724.23,1207752.5,390057,588312.19,45391.42,684112.88,23242.5,60805.95,221738.36,0,0.01,798.98
2019-01-03T07:00:00,0,0,0,0,0,2862.12,2579390,1664237.25,84995.04,0.36,0.12,10,4327996,5822998,0,2.88,136000.48,0,308028.16,784992.5,63665.6,710561.62,0,0,1110.64,3850081.5,579514.56,8193.92,0,1712.76,36724.86,1207766.25,390064.09,588329.06,45391.42,684112.88,23242.74,60806.22,221742.88,0,0.01,798.98
